字段,规范化规则
公司,别名映射(约218条) + 法律后缀清洗(有限公司/集团/股份等) + 地区后缀清洗
公司_集团,将子公司归并到集团（京东物流→京东、网易有道→网易 等 120 条）
部门,关键词规则映射到 21 个规范部门
岗位,多岗位拆分 + 关键词规则映射到 23 个规范岗位
城市,区/园区/笔误别名 233 条（背景→北京、科兴科学园→深圳 等）
自动补齐,"按公司众数补齐 城市/工作天数/上下班时间/分类，补齐字段记录在""补齐标记""列（匿名公司不参与补齐）"
乱填值清洗,公司/部门/岗位/城市：***、纯数字、保密/无/未知 等 → 匿名公司/未填写/未披露；数字型真名(58/360/4399/2345)保留
匿名公司,"含""某""的公司名 → ""匿名+描述""（某外企→匿名外企、北京某国企→匿名国企），含""某""的部门/岗位 → 未披露"
午饭/晚饭时间,"日期序列号(44544等)→未填写；""1200""→12:00；中文数字""十二点/十一点半""→标准时间；随意/自由→不固定；回家吃/下班后→回家吃"
周三/周五特殊,无/不/不特殊/no → 否；是/有/yes → 是；具体说明(提前下班/下午茶等)保留原文
日报/周报,需要/要/有 → 是；无/不需要 → 否；日报/周报/晨会等保留原文
外资,是/否；空值 → 未填写
公司评分,舒适度评分 0-100 = 平均工时45%（8h=100，每+1h扣14）+ 工作天数15%（5天=100，每多0.5天扣20）+ 平均下班30%（18:00=100，每晚1h扣15）+ 上班时间10%（9:30后=100）+ 周五早走奖励3分 − 超10h记录比例惩罚（最高-10）；等级：≥85舒适 / 70-84良好 / 55-69一般 / 40-54偏卷 / <40很卷；无工时数据的公司不评分
